# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "5" "-t" "CDS,ncRNA" "-g" "id" "-a" "../data/reference_sequences/FNV3_1_36A.gff" "-o" "../data/rna_align/counttable_fnv.txt" "../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam" "../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam" "../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam" "../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam" "../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam" "../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam" "../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam" "../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam" "../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam" "../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam" "../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam" "../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam" "../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam" "../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam" "../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam" "../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam" "../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam" "../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/ID_007556_Fnv_H2O_30_min_A.fq.gz.bam	../data/rna_align/ID_007557_Fnv_H2O_30_min_B.fq.gz.bam	../data/rna_align/ID_007558_Fnv_H2O_30_min_C.fq.gz.bam	../data/rna_align/ID_007559_Fnv_PNA79_30_min_A.fq.gz.bam	../data/rna_align/ID_007560_Fnv_PNA79_30_min_B.fq.gz.bam	../data/rna_align/ID_007561_Fnv_PNA79_30_min_C.fq.gz.bam	../data/rna_align/ID_007562_Fnv_PNAscr_30_min_A.fq.gz.bam	../data/rna_align/ID_007563_Fnv_PNAscr_30_min_B.fq.gz.bam	../data/rna_align/ID_007564_Fnv_PNAscr_30_min_C.fq.gz.bam	../data/rna_align/ID_007574_Fnv_H2O_16_h_A.fq.gz.bam	../data/rna_align/ID_007575_Fnv_H2O_16_h_B.fq.gz.bam	../data/rna_align/ID_007576_Fnv_H2O_16_h_C.fq.gz.bam	../data/rna_align/ID_007577_Fnv_PNA79_16_h_A.fq.gz.bam	../data/rna_align/ID_007578_Fnv_PNA79_16_h_B.fq.gz.bam	../data/rna_align/ID_007579_Fnv_PNA79_16_h_C.fq.gz.bam	../data/rna_align/ID_007580_Fnv_PNAscr_16_h_A.fq.gz.bam	../data/rna_align/ID_007581_Fnv_PNAscr_16_h_B.fq.gz.bam	../data/rna_align/ID_007582_Fnv_PNAscr_16_h_C.fq.gz.bam
HMPREF0946_RS05515	NC_022196.1	1184194	1184931	-	738	23	19	7	24	23	24	17	16	13	13	34	24	21	17	8	14	9	6
HMPREF0946_RS05520	NC_022196.1	1184928	1185704	-	777	15	6	17	11	9	12	15	16	6	32	45	20	40	35	12	5	12	10
HMPREF0946_RS05525	NC_022196.1	1185729	1186379	-	651	24	16	20	43	29	28	17	11	13	30	73	39	53	36	13	16	10	18
HMPREF0946_RS05530	NC_022196.1	1186403	1187395	-	993	45	34	33	55	62	60	35	28	16	47	52	39	73	52	32	20	16	28
HMPREF0946_RS05535	NC_022196.1	1187395	1188729	-	1335	188	135	141	296	256	303	181	199	142	105	208	78	222	136	83	77	65	94
HMPREF0946_RS05540	NC_022196.1	1188741	1191860	-	3120	183	83	77	249	254	285	153	185	88	12	26	18	17	5	30	19	9	13
HMPREF0946_RS05545	NC_022196.1	1191876	1192956	-	1081	42	39	40	48	70	81	25	42	32	69	191	47	153	115	80	40	69	60
cobD	NC_022196.1	1192953	1193927	-	975	479	297	330	467	456	604	292	393	404	143	346	111	341	228	170	106	169	125
HMPREF0946_RS05555	NC_022196.1	1193947	1194864	-	918	46	28	54	48	59	57	24	30	23	35	97	28	101	52	44	29	38	31
HMPREF0946_RS05560	NC_022196.1	1194888	1196378	-	1491	89	126	136	103	140	147	59	56	48	87	240	69	193	132	90	58	48	66
HMPREF0946_RS05565	NC_022196.1	1196657	1199587	+	2931	315	193	252	385	408	408	230	251	216	36	35	46	36	29	35	28	33	20
HMPREF0946_RS05570	NC_022196.1	1199726	1201057	-	1332	100	98	94	121	113	116	46	75	64	318	652	300	607	364	358	297	361	342
HMPREF0946_RS05575	NC_022196.1	1201183	1201437	+	255	383	412	615	389	428	414	236	242	362	364	480	408	557	411	321	269	287	306
purD	NC_022196.1	1201502	1202782	-	1281	88	75	98	76	111	107	66	40	49	247	1238	212	1163	726	506	329	455	529
purH	NC_022196.1	1202798	1204312	-	1515	72	53	56	86	97	110	52	52	42	76	624	120	547	357	209	163	227	238
HMPREF0946_RS05590	NC_022196.1	1204350	1205159	-	810	8	10	12	15	19	22	13	12	11	66	202	33	179	113	65	46	58	74
HMPREF0946_RS05595	NC_022196.1	1205220	1205777	-	558	6	6	9	2	4	5	4	0	3	22	120	25	115	67	31	33	35	40
HMPREF0946_RS05600	NC_022196.1	1205765	1206784	-	1020	57	24	49	66	64	58	58	47	32	101	577	72	507	298	181	193	219	259
HMPREF0946_RS05605	NC_022196.1	1206984	1208333	-	1350	84	60	80	103	108	135	74	80	63	275	2143	289	1831	1162	805	609	768	902
HMPREF0946_RS05610	NC_022196.1	1208367	1209080	-	714	20	27	16	28	25	22	25	21	8	76	349	91	308	232	110	83	112	134
purE	NC_022196.1	1209309	1209782	-	474	19	9	15	28	23	29	9	29	11	56	454	43	446	281	154	124	195	243
HMPREF0946_RS05620	NC_022196.1	1209808	1213545	-	3738	650	411	478	901	783	1028	595	636	533	436	2733	354	2962	1906	1260	861	1091	1223
pssA	NC_022196.1	1213989	1214780	+	792	131	120	169	131	193	169	94	82	74	635	801	543	862	626	516	303	316	328
HMPREF0946_RS05630	NC_022196.1	1214783	1215859	+	1077	109	99	105	135	121	200	77	116	77	328	644	257	619	424	312	249	283	310
HMPREF0946_RS05635	NC_022196.1	1215863	1217314	+	1452	435	479	640	630	699	703	340	404	254	745	1757	691	1723	1175	959	786	964	935
HMPREF0946_RS05640	NC_022196.1	1217358	1218056	-	699	785	1197	1497	1142	1449	1405	520	662	531	1594	2338	1430	2827	1907	1464	1187	1223	1164
HMPREF0946_RS05645	NC_022196.1	1218069	1218719	-	651	293	507	612	444	564	518	256	259	227	1471	2096	1284	2354	1581	1063	703	690	755
HMPREF0946_RS05650	NC_022196.1	1218998	1220500	+	1503	369	647	758	505	755	803	282	312	193	944	2042	837	2495	1644	1203	670	761	837
HMPREF0946_RS05655	NC_022196.1	1220586	1221620	+	1035	88	71	122	91	160	100	65	52	69	117	435	110	504	336	215	145	189	227
bioB	NC_022196.1	1221743	1222825	+	1083	203	253	280	242	316	340	173	154	139	1137	1872	967	1961	1374	1048	699	662	766
bioD	NC_022196.1	1222815	1223474	+	660	311	241	287	342	476	427	228	167	139	495	700	560	656	493	425	296	324	295
bioA	NC_022196.1	1223585	1224925	+	1341	31	34	41	45	40	71	20	30	28	73	309	52	301	208	133	89	111	110
HMPREF0946_RS05675	NC_022196.1	1225022	1226473	+	1452	1533	1035	1380	1962	1783	2243	1202	1436	1007	5113	5299	4383	5443	3768	2890	1899	2000	2415
HMPREF0946_RS05680	NC_022196.1	1226492	1227058	+	567	400	319	406	427	484	538	340	235	274	844	1338	820	997	607	453	603	859	837
HMPREF0946_RS05685	NC_022196.1	1227289	1228575	-	1287	633	390	466	717	642	912	516	625	308	465	886	1717	1032	677	776	1394	1047	1049
HMPREF0946_RS05690	NC_022196.1	1228766	1229305	-	540	91	58	86	109	140	150	73	92	70	216	237	180	228	161	124	61	83	67
HMPREF0946_RS05695	NC_022196.1	1229365	1229736	-	372	29	26	20	29	25	13	24	30	4	19	17	15	22	14	3	5	4	4
HMPREF0946_RS05700	NC_022196.1	1229824	1230120	-	297	4955	7285	8072	5971	8155	7033	3128	3146	3076	7303	9547	7489	10217	6769	5849	3935	4196	4263
HMPREF0946_RS05705	NC_022196.1	1230207	1231172	-	966	137	120	106	168	139	203	130	170	60	107	227	78	190	149	109	69	77	76
hprK	NC_022196.1	1231185	1233032	-	1848	52	58	79	77	115	79	33	54	37	241	451	181	462	320	204	158	167	205
HMPREF0946_RS05715	NC_022196.1	1233056	1233877	-	822	36	20	30	55	52	62	30	29	15	42	80	42	87	64	24	19	28	23
HMPREF0946_RS05720	NC_022196.1	1233870	1235117	-	1248	49	53	80	73	57	85	49	33	33	95	200	92	218	125	112	76	81	87
HMPREF0946_RS05725	NC_022196.1	1235117	1235818	-	702	1835	1395	1395	1751	1484	2247	1220	1485	1609	614	877	522	927	595	513	311	298	339
HMPREF0946_RS05730	NC_022196.1	1235937	1236833	+	897	108	113	147	83	184	149	76	72	47	429	693	348	730	488	354	227	242	251
HMPREF0946_RS05735	NC_022196.1	1236830	1237648	+	819	82	76	48	104	106	134	62	41	40	311	456	271	502	339	239	163	157	192
HMPREF0946_RS05740	NC_022196.1	1237635	1237823	+	189	31	59	128	68	110	100	46	29	23	127	159	138	204	123	97	46	61	55
HMPREF0946_RS05745	NC_022196.1	1237871	1238710	-	840	442	837	1207	761	867	754	357	411	370	3541	3031	2761	3506	2457	1538	938	904	1205
HMPREF0946_RS05750	NC_022196.1	1238726	1239502	-	777	88	99	130	116	172	146	58	68	68	1912	1081	1506	1167	795	538	358	323	460
HMPREF0946_RS05755	NC_022196.1	1239807	1242396	+	2590	605	340	410	749	578	836	486	661	384	476	546	387	542	419	374	275	235	284
HMPREF0946_RS05760	NC_022196.1	1242635	1243099	-	465	88	99	124	82	120	145	75	62	38	289	636	328	539	321	278	302	359	359
HMPREF0946_RS05765	NC_022196.1	1243185	1243493	-	309	22457	33743	31715	29186	40912	35474	16286	14864	9380	36617	44658	33694	50714	33793	24161	15359	11422	14715
HMPREF0946_RS05770	NC_022196.1	1243636	1244928	-	1293	175	174	253	204	299	268	150	141	116	997	1616	900	1721	1109	894	600	589	696
HMPREF0946_RS05775	NC_022196.1	1244944	1245816	-	873	156	183	276	161	257	252	95	77	101	917	996	749	1041	709	522	350	271	370
rodA	NC_022196.1	1245816	1246916	-	1101	77	114	86	94	126	104	56	53	40	268	518	300	566	372	294	231	253	215
dut	NC_022196.1	1246935	1247375	-	441	22	24	40	28	35	33	10	16	12	115	163	81	138	109	68	43	44	47
HMPREF0946_RS05790	NC_022196.1	1247377	1248603	-	1227	59	72	72	59	110	86	45	40	47	334	687	361	590	348	366	220	228	278
HMPREF0946_RS05795	NC_022196.1	1248622	1249713	-	1092	82	75	90	82	127	110	63	60	62	293	577	229	654	388	287	179	180	219
HMPREF0946_RS05800	NC_022196.1	1249713	1250792	-	1080	67	71	118	115	155	169	63	57	42	562	1522	613	1662	1086	847	712	890	851
HMPREF0946_RS05805	NC_022196.1	1250801	1251340	-	540	38	21	73	28	51	35	18	28	21	244	417	187	450	315	253	187	148	174
HMPREF0946_RS05810	NC_022196.1	1251356	1252537	-	1182	97	132	134	136	179	206	119	117	78	540	913	435	1044	713	441	345	313	361
HMPREF0946_RS05815	NC_022196.1	1252710	1253204	+	495	8	13	17	6	18	24	14	11	5	47	72	57	74	57	45	27	28	25
HMPREF0946_RS05820	NC_022196.1	1253217	1253852	+	636	93	53	88	151	116	189	90	120	43	57	76	57	63	51	45	28	37	36
HMPREF0946_RS05825	NC_022196.1	1253892	1254341	+	450	17	27	9	8	27	42	17	12	10	39	78	57	111	67	68	26	33	39
HMPREF0946_RS05830	NC_022196.1	1254435	1255340	+	906	22	41	33	27	35	58	17	22	18	342	314	300	329	227	161	125	126	126
HMPREF0946_RS05835	NC_022196.1	1255405	1256106	+	702	69	52	52	74	72	96	47	48	32	349	503	327	493	349	296	196	248	225
HMPREF0946_RS05840	NC_022196.1	1256103	1256426	+	324	195	133	171	177	224	240	130	126	108	338	747	497	669	421	388	441	433	446
HMPREF0946_RS05845	NC_022196.1	1256624	1257799	+	1176	130	81	104	162	143	205	117	105	53	239	359	271	320	212	179	136	159	129
HMPREF0946_RS05850	NC_022196.1	1257818	1258663	+	846	41	46	72	50	95	93	27	34	22	270	352	216	425	298	193	117	105	144
HMPREF0946_RS11425	NC_022196.1	1258703	1258861	+	159	2	0	10	3	1	9	0	5	6	10	23	15	22	20	8	8	12	4
HMPREF0946_RS05855	NC_022196.1	1258892	1259619	-	728	108	120	150	128	167	130	65	74	61	162	342	201	316	186	198	175	184	182
HMPREF0946_RS05860	NC_022196.1	1259630	1260424	-	795	114	97	121	113	154	168	84	88	72	196	291	158	282	214	182	108	116	109
HMPREF0946_RS05865	NC_022196.1	1260664	1261605	+	942	47	38	58	29	69	71	28	40	25	144	224	94	263	198	133	79	125	111
HMPREF0946_RS05870	NC_022196.1	1261625	1262389	+	765	16	17	7	27	24	31	19	17	7	27	103	41	95	54	46	35	56	56
HMPREF0946_RS05875	NC_022196.1	1262409	1263560	+	1152	374	167	207	459	365	409	272	354	185	78	172	80	176	110	107	68	82	100
HMPREF0946_RS05880	NC_022196.1	1263618	1264001	+	384	4	3	5	14	3	5	6	5	4	27	33	9	32	22	8	11	11	15
HMPREF0946_RS05885	NC_022196.1	1264022	1264741	+	720	43	36	46	65	44	91	55	43	20	36	71	41	65	45	24	15	33	24
HMPREF0946_RS05890	NC_022196.1	1264761	1265228	+	468	16	10	10	27	22	30	22	20	8	13	37	10	26	20	17	7	12	17
HMPREF0946_RS05895	NC_022196.1	1265269	1265751	+	483	21	26	22	31	33	51	20	11	11	175	341	192	299	163	111	106	121	173
HMPREF0946_RS05900	NC_022196.1	1265771	1266145	+	375	29	22	22	77	128	64	27	96	20	22	45	24	37	19	23	13	9	12
HMPREF0946_RS05905	NC_022196.1	1266177	1266830	+	654	16	24	34	21	32	34	12	27	15	81	178	87	171	124	69	43	61	58
HMPREF0946_RS05910	NC_022196.1	1266889	1267899	-	1011	64	57	71	79	132	99	53	61	50	344	381	318	388	242	227	109	122	156
HMPREF0946_RS05915	NC_022196.1	1268131	1268730	+	600	13	11	27	11	12	14	13	12	8	92	123	135	101	80	51	45	62	65
HMPREF0946_RS05920	NC_022196.1	1268746	1269204	+	459	2	2	0	2	5	4	1	4	0	1	0	0	0	0	0	0	0	0
HMPREF0946_RS05925	NC_022196.1	1269239	1270015	+	777	48	17	29	77	70	65	26	47	24	66	57	74	78	53	54	41	47	31
brnQ	NC_022196.1;NC_022196.1	1270100;2228100	1271392;2229374	+;-	2568	362	356	521	418	501	470	214	249	220	2231	4295	2333	4017	2535	2173	2463	2836	2829
HMPREF0946_RS05935	NC_022196.1	1271624	1272382	-	759	317	295	292	275	457	349	163	169	189	1439	2008	2024	1725	1063	1173	1001	848	997
HMPREF0946_RS05940	NC_022196.1	1272402	1272956	-	555	51	53	61	65	82	90	47	57	56	319	414	314	473	311	253	184	200	187
HMPREF0946_RS05945	NC_022196.1	1272990	1273772	-	783	53	55	81	77	89	111	31	31	27	512	533	465	684	404	305	166	170	171
HMPREF0946_RS05950	NC_022196.1	1273961	1275145	+	1185	78	81	103	163	120	159	71	105	83	269	526	178	644	454	325	181	146	182
HMPREF0946_RS05955	NC_022196.1	1275147	1275593	+	447	70	54	87	102	118	112	70	72	46	118	172	108	221	180	156	98	76	79
HMPREF0946_RS05960	NC_022196.1	1275722	1276936	+	1215	196	286	256	218	328	325	123	104	119	814	1391	740	1576	1026	712	449	420	518
HMPREF0946_RS05965	NC_022196.1	1276917	1277687	+	771	37	72	78	59	92	118	44	30	26	247	351	198	356	224	164	118	78	135
dprA	NC_022196.1	1277713	1278567	+	855	113	88	161	137	139	155	64	82	49	371	754	366	798	576	403	307	380	352
topA	NC_022196.1	1278622	1280895	+	2274	588	603	708	566	821	723	381	370	315	2343	3729	2643	3606	2306	1909	1398	1340	1586
trmFO	NC_022196.1	1281132	1282436	+	1305	148	106	134	165	173	247	103	144	83	190	370	295	405	214	217	218	195	197
HMPREF0946_RS05985	NC_022196.1	1282443	1283315	+	873	79	150	134	79	105	143	61	61	51	422	734	447	683	445	320	250	264	258
yqeH	NC_022196.1	1283312	1284412	+	1101	60	79	106	79	128	158	60	56	35	366	760	326	855	606	361	204	171	276
HMPREF0946_RS05995	NC_022196.1	1284414	1284920	+	507	84	60	42	150	145	150	117	131	61	61	117	63	111	95	67	34	42	46
ftsY	NC_022196.1	1284937	1285971	+	1035	98	128	130	133	183	209	81	83	73	213	406	217	432	302	195	120	145	161
HMPREF0946_RS06005	NC_022196.1	1286085	1286732	+	648	117	119	187	124	148	141	94	62	68	365	775	361	735	562	364	265	252	316
HMPREF0946_RS06010	NC_022196.1	1286747	1287646	+	900	218	219	144	161	282	221	140	117	143	574	1070	797	1042	780	671	510	592	609
HMPREF0946_RS06015	NC_022196.1	1287863	1288114	-	252	369	456	343	412	485	480	211	237	256	797	1135	949	1195	837	728	524	629	541
HMPREF0946_RS06020	NC_022196.1	1288307	1288852	+	546	354	690	1043	665	933	826	356	307	203	4344	3352	3798	3809	2714	1773	1123	914	1243
HMPREF0946_RS06025	NC_022196.1	1289094	1289528	+	435	18218	29038	23701	21703	33265	30385	13677	13171	9886	3025	9701	3322	11194	7314	5402	3159	2709	2900
HMPREF0946_RS06030	NC_022196.1	1289664	1291358	+	1695	463	241	311	662	590	787	416	562	341	202	316	188	338	216	203	128	167	146
HMPREF0946_RS06035	NC_022196.1	1291537	1291746	-	210	480	660	544	616	943	689	422	360	212	6724	2639	5473	2594	1940	1563	753	592	729
HMPREF0946_RS06045	NC_022196.1	1293768	1294043	+	276	33	28	15	23	34	56	21	23	25	614	295	670	354	272	231	210	155	194
HMPREF0946_RS06050	NC_022196.1	1294040	1294636	+	597	19	28	29	25	26	28	14	21	12	223	102	212	129	113	68	87	62	78
HMPREF0946_RS06055	NC_022196.1	1294749	1294997	+	249	305	476	487	369	557	537	229	220	188	221	375	194	393	211	174	106	138	130
HMPREF0946_RS06060	NC_022196.1	1295038	1295586	+	549	2224	4671	7595	4656	7257	5767	1819	2261	1408	584	819	451	898	558	434	243	262	245
HMPREF0946_RS06065	NC_022196.1	1295731	1297080	+	1350	325	492	692	428	661	582	300	216	242	526	931	380	982	649	430	254	279	325
rapZ	NC_022196.1	1297102	1297968	+	867	193	273	230	279	342	336	177	154	94	127	235	112	294	157	115	87	85	114
uvrC	NC_022196.1	1297955	1299724	+	1770	326	205	310	384	452	472	265	336	157	230	613	313	591	377	388	591	375	462
HMPREF0946_RS06080	NC_022196.1	1299789	1301312	+	1524	343	391	483	409	537	581	263	222	214	1246	2539	1243	2625	1779	1456	918	1067	1026
HMPREF0946_RS06085	NC_022196.1	1301327	1302235	+	909	292	327	387	497	534	581	274	359	214	550	1218	415	1348	862	623	425	553	546
HMPREF0946_RS06090	NC_022196.1	1302268	1302693	+	426	1235	1724	2755	1551	2272	2477	885	871	895	2885	3953	2741	3909	2552	1897	1437	1489	1617
HMPREF0946_RS06095	NC_022196.1	1302707	1303789	-	1083	650	883	1176	820	1022	1022	501	492	538	1124	2092	1160	2153	1386	1156	1131	1292	1294
HMPREF0946_RS06100	NC_022196.1	1304007	1304546	+	540	57	77	67	84	123	109	73	51	38	86	133	86	172	120	70	45	46	59
uvrA	NC_022196.1	1304659	1307496	+	2838	1384	769	891	1684	1519	1948	1028	1344	708	687	988	600	1095	774	710	362	395	412
ruvA	NC_022196.1	1307642	1308226	+	585	142	84	112	125	157	207	95	135	80	241	324	199	343	259	207	141	112	118
HMPREF0946_RS06115	NC_022196.1	1308230	1308727	+	498	32	23	46	30	42	40	14	22	24	95	164	104	179	155	93	63	63	61
HMPREF0946_RS06120	NC_022196.1	1308756	1309982	+	1227	654	539	579	698	813	857	415	538	297	749	1261	665	1252	844	617	394	427	540
HMPREF0946_RS06125	NC_022196.1	1310009	1310476	+	468	610	341	399	679	589	844	410	522	357	143	259	172	252	176	151	104	129	105
HMPREF0946_RS06130	NC_022196.1	1310928	1311473	+	546	120	86	60	70	136	138	68	48	54	246	387	225	320	209	190	99	101	114
HMPREF0946_RS06135	NC_022196.1	1311595	1312386	+	792	68	78	100	98	117	121	48	40	29	163	342	200	323	234	195	142	144	125
HMPREF0946_RS06140	NC_022196.1	1312493	1313104	+	612	40	39	48	49	100	105	35	26	19	102	135	75	165	95	76	39	41	52
rplU	NC_022196.1	1313215	1313529	+	315	701	674	901	560	858	922	431	375	466	5813	5122	5048	4700	3218	2515	1745	1278	1850
HMPREF0946_RS06150	NC_022196.1	1313533	1313862	+	330	217	259	213	223	307	301	159	115	80	645	722	563	754	526	362	211	171	210
rpmA	NC_022196.1	1313863	1314147	+	285	1310	1759	3370	1735	3023	2567	969	930	554	3364	2601	2248	2674	2065	1323	619	516	800
pckA	NC_022196.1	1315140	1316723	+	1584	91	111	145	105	145	166	76	87	73	2649	213	2755	216	103	116	83	137	105
HMPREF0946_RS06170	NC_022196.1	1316774	1318285	-	1512	237	260	308	291	383	328	188	143	130	846	911	863	969	656	572	340	289	345
HMPREF0946_RS06175	NC_022196.1	1318382	1320856	-	2475	252	255	309	236	329	381	194	171	138	1029	1463	949	1553	1109	785	543	489	560
HMPREF0946_RS06180	NC_022196.1	1321027	1321572	+	546	484	610	615	567	829	766	365	317	269	662	748	757	817	575	457	293	271	323
HMPREF0946_RS06185	NC_022196.1	1321629	1322819	-	1191	219	288	336	295	353	339	199	203	221	236	497	177	524	350	245	151	197	206
HMPREF0946_RS06190	NC_022196.1	1322838	1323389	-	552	20	12	18	18	16	15	7	7	8	28	62	28	71	45	20	12	13	31
HMPREF0946_RS06195	NC_022196.1	1323398	1323865	-	468	5	12	16	8	12	19	6	9	18	28	44	17	38	28	20	11	20	22
HMPREF0946_RS06200	NC_022196.1	1323883	1325703	-	1821	132	95	119	180	177	166	119	142	103	117	399	127	392	245	168	175	237	257
HMPREF0946_RS06205	NC_022196.1	1325982	1327964	-	1983	153	163	162	111	181	199	99	93	65	349	676	350	672	447	408	255	294	325
smc	NC_022196.1	1328156	1331707	+	3552	167	160	169	143	240	230	127	129	88	871	1173	710	1218	846	570	346	356	397
lpxK	NC_022196.1	1331735	1332739	+	1005	52	58	65	67	75	84	22	46	38	213	358	271	414	237	206	180	169	206
HMPREF0946_RS06220	NC_022196.1	1332743	1333516	+	774	28	13	19	17	29	29	15	11	8	55	154	50	152	114	41	45	47	54
nadD	NC_022196.1	1333513	1334097	+	585	12	11	10	16	25	29	9	10	3	46	89	40	95	48	27	18	33	16
HMPREF0946_RS06230	NC_022196.1	1334100	1335506	+	1407	366	325	426	581	538	701	422	482	267	452	698	407	681	469	345	231	227	280
nagA	NC_022196.1	1335610	1336770	-	1161	448	622	680	465	712	723	279	273	206	1531	1834	1411	1615	1109	945	568	483	555
HMPREF0946_RS06240	NC_022196.1	1336897	1337352	+	456	54	38	48	46	50	68	28	18	12	198	218	209	194	168	95	66	42	59
HMPREF0946_RS06245	NC_022196.1	1337491	1338366	+	876	386	264	283	499	487	638	342	376	219	1347	743	1310	788	537	422	280	292	322
phnC	NC_022196.1	1338645	1339388	+	744	18	16	8	12	26	28	14	9	14	237	302	247	283	159	132	96	145	137
HMPREF0946_RS06255	NC_022196.1	1339351	1340925	+	1575	60	38	43	86	71	88	57	64	46	193	231	178	249	148	112	97	86	122
HMPREF0946_RS06260	NC_022196.1	1341065	1341487	+	423	11064	19445	26905	18139	25327	21404	8887	8914	5057	1613	3604	1222	4237	2492	1689	1101	990	1143
HMPREF0946_RS06265	NC_022196.1	1341793	1344720	+	2928	583	738	932	913	1143	1093	472	548	373	2434	4421	2260	4269	2888	2409	1680	1733	1865
HMPREF0946_RS06270	NC_022196.1	1344722	1345936	+	1215	309	418	671	524	757	672	294	248	252	592	1208	504	1122	772	582	395	417	434
HMPREF0946_RS06275	NC_022196.1	1345994	1346764	-	771	259	335	468	366	452	383	207	235	216	1467	2068	1248	2034	1383	1105	728	725	773
HMPREF0946_RS06280	NC_022196.1	1347090	1348004	+	915	83	82	121	105	141	122	44	66	49	369	593	364	542	399	305	225	210	269
HMPREF0946_RS06285	NC_022196.1	1348094	1348918	+	825	230	371	407	348	500	400	172	206	127	922	1166	760	1247	910	686	325	312	449
HMPREF0946_RS06290	NC_022196.1	1348987	1349751	-	765	409	474	671	404	615	588	240	233	246	712	1182	560	1404	873	588	407	424	514
HMPREF0946_RS06295	NC_022196.1	1349828	1351507	-	1680	39	47	33	55	40	65	24	25	27	128	151	82	124	89	74	40	33	39
HMPREF0946_RS06300	NC_022196.1	1351742	1352269	+	528	10	6	2	4	6	8	4	9	6	3	0	5	2	1	1	1	0	4
HMPREF0946_RS06305	NC_022196.1	1352334	1352831	-	498	8	16	23	24	19	42	10	18	16	73	17	57	21	13	18	9	4	10
HMPREF0946_RS06310	NC_022196.1	1352850	1354133	-	1284	703	499	566	457	479	761	333	637	943	431	219	314	296	231	201	101	128	95
HMPREF0946_RS06315	NC_022196.1	1354316	1355488	+	1173	1099	1298	1977	1464	1856	1728	693	843	842	2758	3534	2574	3844	2454	2112	1607	1517	1691
HMPREF0946_RS06320	NC_022196.1	1355525	1358752	-	3228	90	90	152	96	128	131	51	78	44	233	499	177	451	327	213	143	167	191
HMPREF0946_RS06325	NC_022196.1	1358745	1361456	-	2712	591	316	373	475	520	661	386	489	376	165	415	214	430	267	257	188	237	186
HMPREF0946_RS06330	NC_022196.1	1361724	1363070	-	1347	261	212	253	330	336	459	245	278	202	994	1813	1253	1740	1168	999	950	782	994
HMPREF0946_RS06335	NC_022196.1	1363240	1364430	+	1191	149	202	261	217	273	260	115	117	112	942	1476	729	1629	1155	810	523	536	601
HMPREF0946_RS06340	NC_022196.1	1364448	1364777	+	330	16	31	26	32	29	38	23	14	8	140	180	135	237	138	108	69	98	70
HMPREF0946_RS06345	NC_022196.1	1364793	1366043	+	1251	79	83	116	83	137	146	77	57	42	444	819	353	834	538	390	291	386	337
HMPREF0946_RS06350	NC_022196.1	1366027	1368198	+	2172	1067	647	783	1654	1397	1848	1118	1281	922	985	2811	1056	2551	1641	1259	979	1189	1311
priA	NC_022196.1	1368214	1370514	+	2301	138	100	115	213	249	254	144	141	97	460	1179	584	1157	704	654	560	615	584
def	NC_022196.1	1370524	1371048	+	525	1816	1180	1202	1844	1552	2390	1431	1854	2118	221	328	196	387	203	262	166	201	158
HMPREF0946_RS06365	NC_022196.1	1371041	1371355	+	315	1	9	10	2	15	16	5	6	6	50	53	40	43	37	31	14	18	23
glpX	NC_022196.1	1371352	1372392	+	1041	209	344	439	340	403	406	162	163	135	640	807	522	922	593	404	287	194	260
murI	NC_022196.1	1372532	1373326	+	795	226	342	365	334	458	479	211	214	136	484	508	422	567	413	269	164	138	177
HMPREF0946_RS06380	NC_022196.1	1373528	1374151	+	624	279	369	531	345	432	448	168	220	145	221	559	155	554	322	246	135	159	168
HMPREF0946_RS06385	NC_022196.1	1374174	1375097	+	924	100	209	347	211	319	307	103	120	69	115	251	81	270	173	108	54	53	68
HMPREF0946_RS06390	NC_022196.1	1375120	1376067	+	948	174	257	371	260	385	360	177	141	88	292	681	323	819	479	334	190	201	198
mglB	NC_022196.1	1376262	1377287	+	1026	576	767	1098	699	1077	963	333	411	438	3980	2274	3413	2376	1588	1147	686	705	820
mglA	NC_022196.1	1377377	1378879	+	1503	103	88	117	106	123	153	96	112	78	179	241	131	231	157	124	49	113	128
mglC	NC_022196.1	1378902	1379921	+	1020	159	188	305	233	271	285	118	115	141	357	474	349	491	323	281	175	182	215
